pixel_x,pixel_y,z_smpl_m,z_vggt_raw,scale_ratio,valid
335.0,134.0,8.431448936462402,0.8656077980995178,9.740495681762695,1
341.0,134.0,8.618176460266113,0.8647956848144531,9.965563774108887,1
212.0,135.0,9.223442077636719,0.9651705026626587,9.556282997131348,1
217.0,135.0,9.091523170471191,0.9461413621902466,9.609053611755371,1
223.0,135.0,9.057716369628906,0.9431970715522766,9.603206634521484,1
224.0,135.0,9.045989036560059,0.9418756365776062,9.604228973388672,1
282.0,135.0,8.613487243652344,0.895244836807251,9.621376037597656,1
288.0,135.0,8.555913925170898,0.8905820250511169,9.60710334777832,1
230.0,136.0,9.202025413513184,0.9475454092025757,9.711434364318848,1
231.0,136.0,9.143009185791016,0.9494994878768921,9.629293441772461,1
283.0,136.0,8.624094009399414,0.8944511413574219,9.641772270202637,1
284.0,136.0,8.599205017089844,0.8943206667900085,9.615348815917969,1
290.0,136.0,8.692169189453125,0.8889948129653931,9.777524948120117,1
292.0,136.0,8.718860626220703,0.8871088624000549,9.828399658203125,1
308.0,136.0,8.758543968200684,0.8769209384918213,9.987837791442871,1
310.0,136.0,8.755784034729004,0.875514030456543,10.00073528289795,1
316.0,136.0,8.744913101196289,0.8709642291069031,10.040495872497559,1
336.0,136.0,8.48221206665039,0.8643934726715088,9.812906265258789,1
341.0,136.0,8.626391410827637,0.8643485307693481,9.980223655700684,1
211.0,137.0,9.2415189743042,0.9890207052230835,9.344110488891602,1
212.0,137.0,9.277193069458008,0.9535669684410095,9.728937149047852,1
222.0,137.0,9.249250411987305,0.9413999319076538,9.824995994567871,1
227.0,137.0,9.085861206054688,0.9414570331573486,9.650850296020508,1
278.0,137.0,8.636406898498535,0.9015392661094666,9.579623222351074,1
285.0,137.0,8.654818534851074,0.8933889865875244,9.687625885009766,1
295.0,137.0,8.734742164611816,0.88511061668396,9.868531227111816,1
315.0,137.0,8.46933650970459,0.8720467686653137,9.712020874023438,1
331.0,137.0,8.45622730255127,0.8652933239936829,9.772671699523926,1
332.0,137.0,8.444624900817871,0.8660239577293396,9.751029014587402,1
338.0,137.0,8.652742385864258,0.8643525838851929,10.010663032531738,1
342.0,137.0,8.533272743225098,0.8648208379745483,9.867098808288574,1
212.0,138.0,9.159451484680176,0.9522175788879395,9.619073867797852,1
213.0,138.0,9.124767303466797,0.9496608972549438,9.608448028564453,1
214.0,138.0,9.088417053222656,0.9481450319290161,9.585471153259277,1
228.0,138.0,9.078926086425781,0.9428113698959351,9.629631996154785,1
284.0,138.0,8.616165161132812,0.8943668603897095,9.63381576538086,1
334.0,138.0,8.478269577026367,0.865399956703186,9.796937942504883,1
339.0,138.0,8.419172286987305,0.8644498586654663,9.739341735839844,1
342.0,138.0,8.58764934539795,0.8647937178611755,9.930286407470703,1
223.0,139.0,9.303191184997559,0.9386484026908875,9.911263465881348,1
226.0,139.0,9.221997261047363,0.9382531642913818,9.828900337219238,1
230.0,139.0,9.118658065795898,0.9443399906158447,9.65611743927002,1
275.0,139.0,8.67833137512207,0.9029595255851746,9.61098575592041,1
278.0,139.0,8.634915351867676,0.9013267159461975,9.580227851867676,1
285.0,139.0,8.643508911132812,0.893281877040863,9.676127433776855,1
290.0,139.0,8.686300277709961,0.8890297412872314,9.770539283752441,1
320.0,139.0,8.460440635681152,0.8691228032112122,9.734458923339844,1
333.0,139.0,8.47225570678711,0.8658076524734497,9.785378456115723,1
334.0,139.0,8.42482852935791,0.86543208360672,9.734823226928711,1
339.0,139.0,8.526199340820312,0.8642339706420898,9.865614891052246,1
344.0,139.0,8.519147872924805,0.8673656582832336,9.821864128112793,1
347.0,139.0,8.482288360595703,0.872696042060852,9.719636917114258,1
213.0,140.0,9.123909950256348,0.9490899443626404,9.613325119018555,1
285.0,140.0,8.591951370239258,0.8931208252906799,9.620144844055176,1
291.0,140.0,8.719466209411621,0.8883336782455444,9.815530776977539,1
295.0,140.0,8.724274635314941,0.8851492404937744,9.85627555847168,1
307.0,140.0,8.770467758178711,0.8778224587440491,9.99116325378418,1
337.0,140.0,8.492987632751465,0.8638104796409607,9.832003593444824,1
213.0,141.0,9.082671165466309,0.9484703540802002,9.576125144958496,1
